"DocumentNumber","Body"
1,"Wenn wir vor 90 Jahren (1933) etwas mehr Lina E.s gehabt hätten und weniger Scharfrichter, dann wären nicht Millionen auf Schlachtfeldern dahingemetzelt und im KZ ermordet worden. Und Deutschland wäre nicht vom Land der Dichter und Denker zum Land der Richter und Henker mutiert. Manche – wie Lina E. – haben aus der Geschichte gelernt. Andere etwas weniger. Thomas Klikauer, Sydney (AUS) Demokratie braucht unbequeme Citoyens Wer schützt Demokraten vor Nazis, wenn der Staat es nicht tut? Der Fall der Lina E. wirft diese Frage mit aller Deutlichkeit auf. Das Urteil gegen die linke Aktivistin zeigt, dass in diesem Land mit zweierlei Maß gemessen wird. Rechtsextremismus ist keine Meinungsäußerung, sondern eine Straftat und widerspricht dem Geist des Grundgesetzes. Das basiert gemäß Artikel 139 auf der Voraussetzung, dass die zur Befreiung des deutschen Volks vom Nationalsozialismus und Militarismus erlassenen Rechtsvorschriften von den Bestimmungen der neuen Verfassung nicht berührt, also nicht infrage gestellt werden. All das gilt nicht nur für Aktionen, Reden und schriftliche Äußerungen, sondern auch für die gesamte Symbolik des Faschismus. Mithin ist es die Pflicht des Staats, rechtzeitig einzugreifen. Er allein übt das Gewaltmonopol aus. Demonstrationen im Stil von SA-Aufmärschen oder „national befreite Zonen“ in Ostdeutschland darf es gemäß Verfassung und Gesetzeslage nicht geben. Ebenso keine Volksverhetzung à la AfD. Dennoch wird gegen die Demokratie und ihre Institutionen gehetzt. Staatsbürger, die ein politisches Mandat ausüben, sehen sich Morddrohungen aus dem rechten Lager ausgesetzt. Exekutive und Judikative reagieren langsam, inadäquat oder überhaupt nicht. Was ist zu tun, wenn der Staat seine verfassungstreuen Bürger im Stich lässt? Selbstjustiz ist keine Lösung. Die lückenlose Anzeige verfassungswidrigen Verhaltens könnte ein Weg sein. Die Demokratie bedarf des unruhigen Citoyens, der Widerspruch formuliert und Unrecht und Täter klar benennt. Klaus Philipp Mertens, Frankfurt Link zum PDF-Dokument Classification Page 2 of 2 Richter und Henker Language: GERMAN; DEUTSCH Publication-Type: Zeitung Journal Code: FRD Subject: RICHTER (90%); PROTESTE & DEMONSTRATIONEN (76%); VÖLKERMORD (76%); VERFASSUNGSRECHT (74%) Geographic: FRANKFURT, DEUTSCHLAND (59%); DEUTSCHLAND (74%) Load-Date: June 9, 2023"
2,"Als Lina E. und ihre drei Mitangeklagten den Hochsicherheitstrakt des Oberlandesgerichts Dresden betreten, bricht Beifall unter ihren rund hundert angereisten Unterstützer:innen aus. Die Urteilsverkündung des Vorsitzenden Richters Hans Schlüter-Staats gegen die mutmaßlichen Linksextremen wird dann wenig später mit Rufen wie „Schweinejustiz“ gestört. Am Ende des fast hundert Verhandlungstage dauernden Prozesses, der mit mehrjährigen Haftstrafen für die vier Angeklagten endet, kocht am Mittwoch die Stimmung hoch. Die Unmutsbekundungen und Zwischenrufe während der mehrstündigen Urteilsbegründung werden immer lauter, so dass schließlich Justizbedienstete eingreifen. Störer:innen werden aus dem Saal geführt, es kommt zu tumultartigen Szenen. Die Sitzung wird unterbrochen. Das Urteil gegen die 28-jährige Studentin Lina E. und die drei mitangeklagten Männer wurde mit Spannung erwartet. Ihnen werden mehrere gewalttätige Angriffe auf Neonazis und vermeintliche Anhänger der rechten Szene zur Last gelegt, die sie zwischen 2018 und 2020 in Wurzen, Leipzig und in Eisenach verübt haben sollen. Mehrere Menschen wurden dabei teils schwer verletzt. Als Knackpunkt erwies sich die Frage, ob sich der Vorwurf einer linksextremistischen kriminellen Vereinigung erhärten lässt. Das Oberlandesgericht Dresden bejaht dies mit seinem Urteil und verhängt gegen Lina E. fünf Jahre und drei Monate Freiheitsstrafe unter anderem auch wegen gefährlicher Körperverletzung. Das liegt deutlich unter der Forderung der Bundesanwaltschaft. Ihre Mitangeklagten erhalten Haftstrafen zwischen zwei Jahren und fünf Monaten sowie drei Jahren und drei Monaten wegen Mitgliedschaft beziehungsweise Unterstützung einer kriminellen Vereinigung. Lina E. kam nach dem Urteil, das noch nicht rechtskräftig ist, gegen Auflagen zunächst auf freien Fuß. Richter Hans Schlüter-Staats schildert die Taten äußerst detailliert, fasst Indizien, Zeugenaussagen und Beweise zusammen. Nach Überzeugung des Gerichts wurden die Überfälle auf Neonazis „langfristig vorgeplant“. Die „brutalste Tat“ traf seinen Ausführungen zufolge einen Kanalarbeiter, der im linksalternativen Stadtteil Leipzig- Connewitz, wo auch die aus Kassel stammende E. lebte, schwer verletzt wurde – weil er eine Mütze eines bei Rechten beliebten Labels trug. „Rechtsextremisten entgegenzutreten ist ein achtenswertes Motiv“, sagt Schlüter-Staats in der Urteilsbegründung. Die Angriffe aber blieben „schwere Straftaten“. Tatsächlich stehen die E. vorgeworfenen Überfälle exemplarisch für Page 2 of 3 Auf das Urteil folgt Tumult eine Tendenz: Die Sicherheitsbehörden in Deutschland beobachten seit längerem eine Radikalisierung einzelner Kleingruppen der linksextremistischen Szene. Die Angriffe würden „zielgerichteter und professioneller“, heißt es im Verfassungsschutzbericht von 2021. Die Opfer würden „in ihrem privaten oder beruflichen Umfeld mit hoher Aggressivität attackiert“. Einige Täter:innen gehen dem Verfassungsschutz zufolge so brutal vor, dass sie den möglichen Tod der Opfer in Kauf nehmen. Das Bundeskriminalamt sieht laut „Spiegel“-Informationen Parallelen zur einstigen Terrorgruppe Rote Armee Fraktion (RAF). Auch Lina E. und ihre Mitangeklagten attackierten dem Urteil zufolge in unterschiedlicher Beteiligung mehrere tatsächliche oder vermeintliche Neonazis. Unter anderem überfiel die Gruppe im Oktober 2018 einen Rechtsextremen in Wurzen. Sie traten und schlugen den Mann mit Fäusten und Teleskopschlagstöcken. Die Szene betrachtet Gewalt mittlerweile als legitimes Mittel gegen Rechtsextreme, weil der Staat aus ihrer Sicht versagt. Bei aller nachvollziehbarer Kritik im Zusammenhang mit der Verfolgung rechter Straftaten liege das Gewaltmonopol immer noch beim Staat, betont Schlüter-Staats. Dies zu schützen, sei „eine elementare Grundlage“ einer demokratischen Gesellschaft. Leipzig ist mit Berlin und Hamburg ein Brennpunkt des gewaltbereiten Linksextremismus. Immer wieder werden hier Polizisten attackiert, brennen Autos. Lina E. gilt in der Szene inzwischen als Symbolfigur für eine vermeintliche staatliche Repression. Nach dem Urteil drohten in einem Internetportal autonome Gruppen Schäden in Millionenhöhe an. In Leipzig und Bremen gab es am Abend teils gewaltsame Proteste. Für Samstag ruft die linke Szene zu einer „Tag-X-Demo“ in Leipzig auf. Die Polizei rechnet mit „hohem Schadenspotenzial“. Sie bereitet sich auf einen Großeinsatz vor. Andrea Hentschel, AFP Kommentar Seite 11 Link zum PDF-Dokument"
3,"Bundesanwaltschaft legt im Fall Lina E. Revision ein Die Bundesanwaltschaft hat gegen das Urteil im Fall der Studentin Lina E. und drei weitere Angeklagte Revision eingelegt. Das bestätigte eine Sprecherin am Freitag. Zuerst hatte der „Spiegel“ darüber berichtet. Zur Begründung wurde zunächst nichts bekannt. Das Oberlandesgericht Dresden hatte Lina E. unter anderem wegen Mitgliedschaft in einer kriminellen Vereinigung zu einer Haftstrafe von fünf Jahren und drei Monaten verurteilt. Die Bundesanwaltschaft hatte acht Jahre gefordert. epd Assange: Richter lehnt Anträge auf Berufung ab Der Gründer der Enthüllungsplattform Wikileaks, Julian Assange, hat erneut Rückschläge im juristischen Tauziehen um seine geplante Auslieferung in die USA hinnehmen müssen. Ein Richter am Londoner High Court lehnte zwei von Assanges Anwälten eingereichte Anträge auf Berufung ab, wie aus Gerichtsdokumenten hervorgeht, die der Deutschen Presse-Agentur am Freitag vorlagen. Assange wollte sowohl gegen die ursprüngliche Gerichtsentscheidung über seine Auslieferung als auch gegen den Auslieferungsbescheid der britischen Regierung in Berufung gehen. dpa Israelische Armee erschießt mutmaßlichen Angreifer Israelische Soldaten haben im besetzten Westjordanland einen mutmaßlichen palästinensischen Angreifer erschossen. Das palästinensische Gesundheitsministerium teilte am Freitag mit, der 29-Jährige sei durch „Feuer der Besatzung“ am Militärkontrollpunkt Rantis westlich von Ramallah getötet worden. Die israelische Armee bestätigte den Vorfall und erklärte zudem, ein Soldat sei dabei leicht verletzt worden. afp UN verteilen in Äthiopien kein Essen mehr Das Welternährungsprogramm (WFP) stellt vorübergehend seine Nahrungsmittelverteilungen in ganz Äthiopien ein. Anfang Mai hatte das WFP bereits die Essensausgaben in der Region Tigray eingestellt. Zuvor war bekanntgeworden, dass Hilfsgüter in großem Stil verkauft worden waren, anstatt an Bedürftige verteilt zu werden. epd Kolumbiens Vizepräsidentin für Engagement geehrt Die kolumbianische Vizepräsidentin Francia Márquez ist für ihren Einsatz für die Rechte von Frauen und Afrokolumbianer:innen sowie ihren Kampf gegen illegalen Bergbau ausgezeichnet worden. Außenministerin Page 2 of 2 NACHRICHTEN Annalena Baerbock (Grüne) überreichte der 41 Jahre alten Frauenrechtlerin und Ex-Umweltaktivistin am Donnerstagabend (Ortszeit) in der Stadt Cali den Preis für Frauenrechte und Demokratie des deutsch- lateinamerikanisch-karibischen Frauennetzwerkes „Unidas“. dpa Link zum PDF-Dokument"
4,"VON OLIVER TEUTSCH Bei einer nicht angemeldeten Sympathiekundgebung für die verurteilte linke Aktivistin Lina E. ist es am Mittwochabend in Bockenheim zu mehreren Sachbeschädigungen gekommen. Wie die Polizei mitteilte, meldeten Anrufer:innen gegen 22.20 Uhr eine Personengruppe, die randalierend die Leipziger Straße entlangziehe. Die Polizei stellte 20 bis 30 Personen fest, die auf ihrem Weg mehrere Rauchtöpfe zündeten. Als weitere Polizeistreifen eintrafen, entfernte sich die Gruppe. Im Nachgang registrierte die Polizei entlang der Leipziger Straße mehrere Sachbeschädigungen. Eine größere Papiermülltonne, die in Brand gesetzt worden war, musste von der Feuerwehr gelöscht werden. Darüber hinaus wurden zwei Werbetafeln und ein Schaufenster entglast. An einem Fahrzeug wurde das Hersteller-emblem abgeknickt. Mehrere Hausfassaden und Schaufenster wurden außerdem mit den Schriftzügen „Free Lina, „ACAB“ und „AntiFa“ beschmiert. Die Antifa Rhein-Main bezeichnete die Aktion in einer Mitteilung als „kraftvolle Spontandemonstration“ und sprach von 150 Antifaschist:innen, die unangemeldet durch Bockenheim gezogen seien. Die Aktion sei eine Reaktion auf die hohen Haftstrafen, die das Oberlandesgericht Dresden am Donnerstag gegen Lina E. und ihre Mitangeklagten verhängt habe. Das Gericht habe trotz dünner Beweislage höhere Strafen verhängt als gegen Personen, die dem rechtsextremen NSU-Kern zuzurechnen seien, heißt es in der Mitteilung. Die Sachbeschädigungen seien ein „Ausdruck der Wut“. Auch die Polizei hat einen Zusammenhang zu der Urteilsverkündung in Sachsen hergestellt. Daher ermittle der Staatsschutz der Kriminalpolizei in der Sache. Link zum PDF-Dokument"
5,"VON MARKUS DECKER Nach dem Urteil gegen die Studentin Lina E. wegen linksextremistischer Gewalttaten hat die Stadt Leipzig eine für Samstag geplante Demonstration verboten. Das teilte die Versammlungsbehörde des Ordnungsamtes am Donnerstag mit. Grund für das Verbot seien die Gefahrenprognosen der Polizeidirektion Leipzig, die Lageeinschätzungen des Landesamtes für Verfassungsschutz sowie weitere Erkenntnisse der Versammlungsbehörde, hieß es. Die öffentliche Sicherheit sei nach den derzeit erkennbaren Umständen durch die Versammlung unmittelbar gefährdet. Die jüngsten Proteste und Angriffe auf Polizist:innen nach dem Urteil des Oberlandesgerichts Dresden gegen die Studentin Lina E. haben eine kontroverse Debatte ausgelöst. In Leipzig wurde eine Versammlung nach Angaben eines Polizeisprechers für beendet erklärt, nachdem Flaschen und Pyrotechnik in Richtung der Beamt:innen geworfen worden seien, wie es hieß. In Bremen gingen laut Polizei rund 350 meist vermummte Menschen auf Einsatzkräfte los. Die 28-jährige Studentin war wegen mehrerer Angriffe auf Rechtsextremisten der Mitgliedschaft in einer kriminellen Vereinigung für schuldig befunden und deshalb zu fünf Jahren und drei Monaten Haft verurteilt worden. Der Vorsitzende der Gewerkschaft der Polizei, Jochen Kopelke, sagte dem Redaktionsnetzwerk Deutschland: „Die brutalen Angriffe auf Polizistinnen und Polizisten erschüttern mich. Organisiert, geplant und mit absoluter Brutalität wurden der Rechtsstaat und unsere Polizei gezielt angegriffen – natürlich wie üblich aus Kundgebungen und Versammlungen heraus..“ Die Parlamentarische Geschäftsführerin der Grünen-Bundestagsfraktion, Irene Mihalic, sagte: „Gewalt kann und darf in einem Rechtsstaat nicht geduldet werden und muss entsprechende strafrechtliche Konsequenzen haben. Gewaltvolle Proteste und Angriffe auf die Polizei als Reaktion auf das Urteil im Fall Lina E. sind nicht zu tolerieren.“ Sie fuhr fort: „Klar ist auch, dass Rechtsextremismus, so wie schon der vorherige Bundesinnenminister sagte, die größte Bedrohung für unsere freiheitliche Demokratie ist.“ Der Co-Vorsitzende der Grünen Jugend, Timon Dzienus, stellte hingegen das Urteil als „skandalös“ infrage und verwies auf ein deutlich geringeres Strafmaß für zwei Angeklagte aus der rechtsextremistischen Szene, denen ein Gericht zur Last legte, zwei Journalisten attackiert und schwer verletzt zu haben. Ein Angeklagter wurde im September 2022 zum Ableisten von 200 Arbeitsstunden verurteilt, der andere zu einer Freiheitsstrafe von einem Jahr, die auf Bewährung ausgesetzt wurde. Zur Begründung für die geringe Strafe hieß es, es sei nicht klar, dass die Angeklagten die beiden Angegriffenen als Pressevertreter erkannt hätten. mit dpa Page 2 of 2 „Rechtsextremismus ist größte Bedrohung“ Link zum PDF-Dokument"
6,"VON JAN STERNBERG Eins ist klar: Es wird ein heißes, ein aufgeheiztes Wochenende in Leipzig. Und sehr wahrscheinlich wird es zu Gewalt und Sachbeschädigungen kommen. Zwischen Stadtfest, Herbert-Grönemeyer-Konzert und Sachsenpokal- Finale zwischen Lok Leipzig und Chemnitzer FC, zwei Fußballteams mit teils berüchtigten Fans, hat die linksradikale Szene bundesweit in die Stadt mobilisiert. Es ist der „Tag X Antifa Ost“, der Samstag nach dem Urteilsspruch gegen die Studentin Lina E.. Die Stadt Leipzig hatte die für Samstag geplante Veranstaltung mit dem Motto „United we stand – Trotz alledem, autonomen Antifaschismus verteidigen!“ am Donnerstag verboten, weil ein unfriedlicher Verlauf zu befürchten sei. In linken Kreisen war bundesweit mobilisiert worden. Das Verwaltungsgericht Leipzig bestätigte das Verbot am Freitagabend im Eilverfahren, danach war noch Beschwerde vor dem Oberverwaltungsgericht möglich. Das Verbot hat die Mobilisierung nicht gestoppt. Unter dem Motto „Jetzt erst recht“ sollen weiter Tausende nach Leipzig strömen. Befürchtet wird nun ein Katz-und-Maus-Spiel zwischen Demonstrierenden und Polizei. Auf der linksradikalen Internetplattform „indymedia.org“ etwa wurde dazu aufgerufen, Stadtfest und Grönemeyer- Konzert „als Ausgangspunkt für Aktionen zu nutzen“. Die vielen Menschen, welche in der Stadt sein werden, „lassen sich polizeilich schwer überblicken und werden Möglichkeiten bieten, unserer Wut auf Repression und Kriminalisierung Ausdruck zu verleihen“, stand dort weiter. „Wenn die Stadt unseren Protest verunmöglicht, wird das Konsequenzen haben, die dort treffen, wo es der Stadt wehtut“. Leipzigs Oberbürgermeister Burkhard Jung sorgt sich daher um die Sicherheit. „Wir sehen mit großer Sorge die offenen, zum Teil hasserfüllten Gewaltaufrufe aus dem anarchistisch-linksextremistischen Milieu in den sozialen Medien. Gewalt darf aber niemals Mittel der politischen Auseinandersetzung sein“, sagte der SPD-Politiker am Freitag. In der Stadt der Friedlichen Revolution von 1989 sei auf die Straße getragene Gewalt vollkommen inakzeptabel. „Ich appelliere an alle, sich den Aufrufen nicht anzuschließen und sich von jeglicher Gewalt unmissverständlich zu distanzieren.“ Grund für das Demoverbot sind laut Jung die Gewaltandrohungen in den sozialen Netzen, die Gefahrenprognose der Polizei, die Lageeinschätzungen des Landesamtes für Verfassungsschutz sowie weitere Erkenntnisse der Versammlungsbehörde. Die Polizei rechnet mit einer vierstelligen Teilnehmerzahl und fürchtet die Anreise gewaltbereiter Linker in dreistelliger Zahl. Die 28 Jahre alte Studentin Lina E. war am Mittwoch vom Page 2 of 2 Aufgeheiztes Wochenende Oberlandesgericht Dresden wegen linker Gewalttaten zu fünf Jahren und drei Monaten Haft verurteilt worden. mit dpa Link zum PDF-Dokument"
7,"Von Pitt von Bebenburg Es ist unerträglich, wenn sich Neonazis in Deutschland ausbreiten. Politik und Polizei dürfen es nicht hinnehmen, wenn sie insbesondere in Sachsen und Thüringen ganze Stadtteile zu Angstzonen machen. Aber kann das eine Rechtfertigung sein für schwere Gewalttaten gegen Personen aus der rechten Szene und sogar gegen nur mutmaßlich Rechte? Nein, denn wer Selbstjustiz übt, untergräbt Demokratie und Rechtsstaatlichkeit. „Jeder Mensch hat in diesem Staat Rechte – auch ein gewalttätiger Nazi“, hat der Vorsitzende Richter im Dresdner Prozess gegen Lina E. formuliert. Das ist ein provokanter Satz – aber er trifft zu. Es macht den Rechtsstaat aus, dass jede Person vor Gefahren für Leib und Leben beschützt wird. Lina E. ist keine Heldin. Die Frau, die vom Gericht verurteilt wurde und von der linksradikalen Szene gefeiert wird, darf kein Vorbild sein. Überfälle mit Baseballschlägern und Reizgas sind keine Lösung für Fehlentwicklungen. Die Spirale der Gewalt darf sich nicht weiterdrehen. Niemand sollte jetzt eine „neue RAF“ herbeireden, und alle sollten sich im Klaren sein: Die größte Gefahr in diesem Land geht vom Rechtsextremismus aus. Menschenverachtung ist sein Kennzeichen. Linke sollten es sich nie zu eigen machen. Bericht S. 5 Link zum PDF-Dokument"
8,"Die Auseinandersetzungen in Leipzig werden unterschiedlich bewertet Den Ausschreitungen in Leipzig nach dem Hafturteil für die Studentin Lina E. wegen linksextremistischer Gewalttaten folgt eine kontroverse Debatte. Die „Badischen Neuesten Nachrichten“ finden: „In Leipzig ist es zu den befürchteten gewaltsamen Auseinandersetzungen zwischen Linksextremen und der Polizei gekommen. Der Anlass: Lina E. und ihre Mitstreiter haben Menschen brutal angegriffen und sie teilweise schwer verletzt.Was haben brennende Barrikaden mit Antifaschismus zu tun? Erstens greifen die vermeintlichen Antifaschisten eben jenen demokratischen Rechtsstaat an, den es doch gegenüber Nazis zu verteidigen gilt. Und zweitens wird kein einziger Nazi durch diese Gewalt bekehrt. Aber es ist natürlich viel leichter, eine Schlacht mit der Polizei – sogar mit Stein- und Flaschenwürfen – anzuzetteln als mühsam mit friedlichen Mitteln die Gesellschaft zu verbessern.“ Die „Leipziger Volkszeitung“ meint: „Die linke Szene in Connewitz hat zwar eine Wandlung durchgemacht. Ein Teil distanziert sich aber nach wie vor nicht von Gewalttaten. Die verurteilte Linksextremistin Lina E. erscheint ihnen als Märtyrerin. Die Hoffnung ist, dass Aufrufe wie zum ‚Tag X‘ in Zukunft verpuffen (…). Dann muss sich niemand mehr über das Vorgehen der Polizisten und das Gebaren der Linken aufregen. Dieses Wochenende hat diese Hoffnung ein wenig genährt.“ Die „taz“ schreibt: „In Connewitz kämpft die Staatsmacht gegen ein angeblich resolutes Viertel, durchsetzt von linken Autonomen. Dass der Stadtteil eigentlich ein recht bürgerlicher ist – geschenkt. Für ein paar Hundert teils minderjährige Antifas wurde ein Polizeizirkus jenseits jeglicher Verhältnismäßigkeit inszeniert. Was wäre passiert, hätte man sie laufen lassen? Ein paar brennende Mülltonnen? Ein Ausgehviertel im Ausnahmezustand und einen millionenschweren Polizeieinsatz hätte es dafür nicht gebraucht. Gebraucht wird der Mythos Connewitz jedoch von einem Sicherheitsapparat, der nicht mehr weiß, wen er beschützen soll – außer zuvorderst sich selbst.“ Die „Rhein-Neckar-Zeitung“ stellt fest: „Ohne die Fälle gleichzusetzen: Hier brutale Überfälle auf Andersdenkende samt Randale, an anderer Stelle Blockaden und Bilderstürme von selbst ernannten Klimarettern – das alles entspringt der Hybris, die einzig richtige Meinung zu vertreten und damit Gesetzesbrüche zu legitimieren. Ein Staat, der diesen Tendenzen nicht entgegentritt, macht sich zum Helfershelfer von Selbstermächtigung. Er muss durchgreifen, damit Politik nicht durch Faustrecht ausgeübt werden kann.“ Die „Süddeutsche Zeitung“ meint: „Ohne staatliches Gewaltmonopol kann eine Demokratie nicht existieren. Auch deshalb ist das Geraune vom Repressionsstaat so gefährlich. Es delegitimiert einen Grundpfeiler des friedlichen Page 2 of 2 Mehr Rechtsstaat Zusammenlebens. Keine Frage, aktuell ist der Rechtsextremismus die größte Bedrohung im Land. Und zweifellos gibt es Defizite beim Ahnden rechtsextremer Straftaten. Doch die Konsequenz kann nur ‚mehr Rechtsstaat‘ heißen, mehr Kontrolle von Polizei durch unabhängige Justiz und auch kritische Öffentlichkeit. Was es ganz bestimmt nicht braucht: Angriffe auf demokratische Prinzipien. Also, dringend deeskalieren bitte.“ ara Link zum PDF-Dokument"
9,"VON GEORGE GRODENSKY Freiheit für Lina und alle politischen Gefangenen. Das haben antifaschistisch eingestellte Menschen am Samstagabend bei einer Solidemo in Frankfurt gefordert. Etwa 135 von ihnen liefen vom Willy-Brandt-Platz zur Hauptwache, dann löste sich der Tross auf. Keine Böller, kein schwarzer Block. Einzig ein paar trunkene Störenfriede wurden rigoros vom Feld geschubst. Zur Hauptwache sei man gelaufen, um den Protest in das Herz der Stadt zu tragen. „Um die Menschen zu informieren“, sagt Jule. Die Gruppe hat sie für heute als Sprecherin auserkoren. Es gehe um den Kampf gegen Faschismus und um Solidarität mit denen, die das „in den Knast“ bringe. Das Oberlandesgericht in Dresden hatte Ende Mai Lina E. und drei Mitstreiter zu mehrjährigen Haftstrafen verurteilt. Sie seien Mitglieder einer kriminellen Vereinigung, glaubt das Gericht. Es sei wichtig, das Urteil „gegen die Antifaschisten“ auch in Frankfurt noch einmal zu thematisieren, sagen nun Jule und Mitstreiter. Erstens habe es in den vergangenen Tagen viele Schlagzeilen zum Fall gegeben. Aber eher aus Sicht der Polizei, wie einer der Organisatoren sagt. Nun wolle man in Frankfurt eine eigene hinzufügen. Die laute: „Antifaschismus lässt sich nicht verbieten!“ Zweitens zweifeln in der linken Szene sehr viele Menschen an, dass das Urteil rechtens ist. Zumindest sei es lediglich dank Zeugenaussagen von „Nazis und Vergewaltigern“ zustande gekommen, wie ein Redner vermerkt. Seit 1990 seien 219 Menschen in Deutschland durch Rechtsextreme ermordet worden, heißt es auf einem Flugblatt, das die Demo mitführt. Und doch hätten Aktivistinnen und Aktivisten, die sich dem antifaschistischen Widerstand zurechneten, immer mehr das Gefühl, die Staatsgewalt nehme vor allem das linke Spektrum ins Visier. Bei rechten Chatgruppen in der Polizei drücke man beide Augen zu, bei den NSU-Ermittlungen verschwänden Akten, in Hanau schikaniere man lieber die Hinterbliebenen, anstatt lückenlos aufzuklären. Auch werde die AfD immer stärker. „Und das nicht trotz, sondern wegen ihrer antifeministischen, rassistischen und antisemitischen Inhalte.“ Der Staat habe weder Interesse noch Fähigkeit, dem wachsenden Faschismus Einhalt zu gebieten, so die Anklage. Die Lösung: Die antifaschistische Bewegung müsse es richten. Mit so wenig Gewalt wie möglich, heißt es einige Male an dem Abend. Aber auch „nicht ohne sie“. Page 2 of 2 Antifa-Demonstration bleibt friedlich „Einen bitteren Beigeschmack zu dem ohnehin schon geschmacklosen Urteil“ sieht Sprecherin Jule im kurzfristigen Verbot der Solidemo „Tag X“ in Leipzig. Eine Versammlung zur Versammlungsfreiheit durfte am vorigen Samstag stattfinden, lief aber aus dem Ruder. Die Polizei kesselte 1000 Menschen, auch minderjährige, stundenlang ein. Jule sieht darin den Versuch, „die ganze Bewegung einzuschüchtern“. Politisch zu sein, bedeute, immer größere Hürden nehmen zu müssen. Das könne junge Menschen abschrecken, „die sich gerade erst politisieren“. Ähnlich wirke das neue hessische Versammlungsgesetz, das der Polizei mehr Befugnisse einräume, was wiederum Raum für Willkür berge. Konkret vorgefallen sei in dieser Richtung zwar noch nichts in Frankfurt, im Hinterkopf schwinge das aber immer mit. „Die Angst vor Repressionen beschränkt sich nicht mehr nur auf die Demo.“ Teilnehmende müssten vorher und im Nachgang ihrer freien Meinungsäußerung schon mit allem rechnen. Link zum PDF-Dokument"
10,"Städte und Gemeinden fordern Wassermanagement Der Deutsche Städte- und Gemeindebund warnt bei langanhaltenden Hitze- und Dürreperioden vor regionaler Wasserknappheit. Deutschland brauche daher „ein aktives Wassermanagement“, sagt Geschäftsführer Gerd Landsberg. Nötig seien Sparsamkeit, eine verbesserte Wasserrückhaltung und der Ausbau von Verbundsystemen und Fernwasserleitungen. rnd „Tag X“-Demo in Leipzig: Ermittlungen gegen Beamte Die Dresdner Polizei ermittelt im Zusammenhang mit dem Polizeieinsatz bei den Demonstrationen gegen die Verurteilung der Linksextremistin Lina E. gegen zwei Polizeibeamte. In zwei weiteren Sachverhalten stehe die rechtliche Bewertung noch aus. dpa Abgewiesene Klage gegen Polizeiaufgabengesetz Der Bayerische Verfassungsgerichtshof hat eine Klage gegen das bayerische Polizeiaufgabengesetz (PAG) als unbegründet abgewiesen. Der präventive Gewahrsam für bis zu zwei Monate sei mit der Bayerischen Verfassung vereinbar und verstoße nicht gegen das Grundrecht der Freiheit der Person, wenn er der Abwehr von konkreten Verstößen des jeweiligen Adressaten diene. epd Wagenknecht will ihr Bundestagsmandat behalten Die umstrittene Linken-Bundestagsabgeordnete Sahra Wagenknecht lehnt die Forderung des Parteivorstands nach Rückgabe ihres Mandats ab. Wagenknecht forderte ihrerseits den gesamten Vorstand zum Rücktritt auf. afp Spanische Ministerin für dauerhafte „Reichensteuer“ Gut einen Monat vor der Parlamentswahl in Spanien hat Arbeitsministerin Yolanda Díaz die dauerhafte Einführung der ursprünglich nur für zwei Jahre beschlossenen „Reichensteuer“ gefordert. Die Ministerin der linken Regierung sprach sich am Mittwoch auch für eine stärkere Besteuerung der größeren Unternehmen aus. Bei der Neuwahl des Parlaments will Díaz am 23. Juli als Spitzenkandidatin des von ihr vor einem Jahr gegründeten linken Wahlbündnisses Sumar (Summieren) antreten. dpa Tote nach Schießerei in ethnischem Konflikt in Indien Page 2 of 2 NACHRICHTEN Im Zuge von Spannungen zwischen der hinduistischen, die Politik dominierenden Mehrheit und den Volksgruppen der Meitei, der Kukis und der Nagas sind im Bundesstaat Manipur im Nordosten Indiens bei einer Schießerei mindestens neun Menschen getötet worden, berichtet die „Hindustan Times“ am Mittwoch unter Berufung auf die Polizei. dpa Link zum PDF-Dokument"
